vertical,advertiser_country,cost_per_goal,advertising_platform_id,start_year
Industrial,ES,0.61,bing,2022
Others,ES,0.28,bing,2021
Home Improvement & Maintenance,ES,0.24,bing,2021
Others,ES,0.66,adwords,2021
Home Improvement & Maintenance,ES,0.44,adwords,2021
Home Improvement & Maintenance,ES,0.5,bing,2023
Others,ES,0.81,adwords,2022
Home Improvement & Maintenance,ES,0.21,bing,2021
Home Improvement & Maintenance,ES,0.45,bing,2022
Environment,ES,0.93,adwords,2023
Industrial,ES,0.95,adwords,2019
School,ES,1.5,bing,2023
Health,ES,0.19,bing,2022
Others,ES,3.0,bing,2022
Others,ES,0.56,adwords,2022
Others,ES,0.23,adwords,2022
Others,ES,0.25,bing,2023
Industrial,ES,0.53,bing,2022
Home Improvement & Maintenance,ES,1.55,adwords,2021
Security,ES,0.9,bing,2023
Industrial,ES,0.18,adwords,2022
Others,ES,0.55,bing,2022
Electronics,ES,1.6,adwords,2023
Health,ES,3.0,bing,2022
Home Improvement & Maintenance,ES,0.53,bing,2022
Business,ES,1.15,adwords,2023
Others,ES,0.3,adwords,2022
Legal & Law,ES,0.41,adwords,2021
Others,ES,0.5,adwords,2021
Industrial,ES,0.54,adwords,2021
Health,ES,0.37,adwords,2022
Real Estate,ES,0.2,adwords,2023
Others,ES,0.23,bing,2021
Cars & Motorbikes,ES,0.32,bing,2022
Others,ES,0.8,bing,2023
Others,ES,0.4,adwords,2021
Others,ES,0.62,adwords,2021
Industrial,ES,1.44,adwords,2023
Pharmacy,ES,1.19,adwords,2022
Others,ES,2.24,adwords,2022
Home Improvement & Maintenance,ES,0.6,adwords,2023
Fashion & Clothing,ES,0.28,bing,2022
Others,ES,1.95,bing,2021
Transport & Logistics,ES,0.24,adwords,2021
Home Improvement & Maintenance,ES,0.19,bing,2021
Others,ES,0.42,adwords,2022
Transport & Logistics,ES,0.07,bing,2022
Others,ES,0.2,adwords,2021
Industrial,ES,0.43,bing,2021
Others,ES,0.43,bing,2021
Food & Drinks,ES,0.77,adwords,2023
Health,ES,0.25,adwords,2021
Others,ES,3.0,adwords,2022
Others,ES,0.9,bing,2021
Health,ES,0.24,bing,2021
Others,ES,1.12,bing,2022
Others,ES,0.51,bing,2021
Others,ES,0.16,bing,2022
Health,ES,0.38,bing,2022
Industrial,ES,0.72,bing,2022
Beauty,ES,0.26,adwords,2021
Others,ES,0.33,adwords,2021
Home Improvement & Maintenance,ES,0.59,bing,2021
Others,ES,0.14,bing,2021
Others,ES,0.31,adwords,2022
Legal & Law,ES,1.76,adwords,2022
Legal & Law,ES,1.05,adwords,2024
Home Improvement & Maintenance,ES,0.43,bing,2021
Cars & Motorbikes,ES,0.21,bing,2022
Cars & Motorbikes,ES,0.38,bing,2021
Industrial,ES,0.72,adwords,2021
Health,ES,0.36,adwords,2021
Health,ES,0.37,adwords,2022
School,ES,1.46,adwords,2023
Others,ES,0.14,adwords,2021
Others,ES,0.78,adwords,2023
Accommodation & Hotels,ES,0.21,bing,2022
Beauty,ES,0.9,adwords,2024
Food & Drinks,ES,1.2,bing,2023
Others,ES,0.32,adwords,2022
Others,ES,0.78,adwords,2024
Health,ES,0.21,adwords,2021
Home Improvement & Maintenance,ES,2.52,bing,2023
Legal & Law,ES,1.72,bing,2023
Others,ES,1.92,bing,2023
Food & Drinks,ES,0.4,bing,2023
Health,ES,0.31,bing,2022
Others,ES,1.81,bing,2021
Industrial,ES,0.39,bing,2022
Others,ES,0.88,adwords,2021
Others,ES,1.23,bing,2022
Others,ES,0.72,adwords,2021
Others,ES,0.4,adwords,2021
Electronics,ES,0.6,adwords,2022
Others,ES,0.33,bing,2022
Others,ES,1.15,bing,2022
Others,ES,0.25,bing,2021
Others,ES,0.46,adwords,2021
Others,ES,0.27,bing,2023
Others,ES,0.21,bing,2022
Others,ES,2.4,adwords,2021
Home Improvement & Maintenance,ES,0.52,bing,2021
Others,ES,0.39,bing,2021
Others,ES,0.86,bing,2021
Others,ES,0.41,bing,2021
Others,ES,0.21,bing,2022
Others,ES,0.68,bing,2021
Food & Drinks,ES,0.28,bing,2022
Real Estate,ES,0.76,adwords,2022
Cars & Motorbikes,ES,0.72,bing,2022
Industrial,ES,0.24,bing,2021
Others,ES,0.31,adwords,2022
Accommodation & Hotels,ES,0.28,adwords,2021
Home Improvement & Maintenance,ES,0.3,bing,2021
Environment,ES,3.0,bing,2023
Others,ES,0.22,adwords,2021
Home Improvement & Maintenance,ES,0.22,bing,2021
Industrial,ES,0.34,bing,2021
Others,ES,0.45,bing,2021
School,ES,0.4,adwords,2021
Others,ES,0.55,adwords,2022
Food & Drinks,ES,0.22,adwords,2021
Agriculture,ES,2.62,bing,2021
Industrial,ES,0.45,adwords,2022
Others,ES,0.18,adwords,2021
Others,ES,0.23,adwords,2024
Others,ES,0.25,adwords,2021
Others,ES,0.53,bing,2022
Industrial,ES,1.3,bing,2022
Others,ES,0.31,adwords,2022
Home Improvement & Maintenance,ES,0.37,adwords,2021
Fashion & Clothing,ES,1.6,bing,2023
Others,ES,0.78,adwords,2022
Others,ES,0.37,bing,2021
Others,ES,0.43,adwords,2021
Real Estate,ES,2.48,adwords,2023
Accommodation & Hotels,ES,0.35,adwords,2023
Others,ES,0.61,adwords,2021
Animals & Pets,ES,0.6,adwords,2022
Industrial,ES,0.79,adwords,2021
Home Improvement & Maintenance,ES,0.37,adwords,2022
Food & Drinks,ES,0.21,bing,2022
Others,ES,0.22,adwords,2022
Transport & Logistics,ES,0.17,bing,2022
Others,ES,0.9,bing,2023
Home Improvement & Maintenance,ES,0.69,bing,2021
Environment,ES,0.21,adwords,2021
Others,ES,0.49,adwords,2022
Industrial,ES,1.4,adwords,2023
Others,ES,0.46,bing,2021
Others,ES,0.21,adwords,2021
Home Improvement & Maintenance,ES,0.55,bing,2022
Home Improvement & Maintenance,ES,0.8,bing,2022
Others,ES,0.6,bing,2023
Health,ES,0.3,bing,2022
Others,ES,0.32,bing,2021
Others,ES,0.94,adwords,2021
Others,ES,0.26,adwords,2021
Others,ES,0.79,bing,2021
Others,ES,0.31,bing,2021
Beauty,ES,0.72,bing,2023
Health,ES,0.36,bing,2021
Others,ES,0.32,bing,2021
Others,ES,1.81,bing,2021
Home Improvement & Maintenance,ES,0.47,adwords,2022
Others,ES,0.87,adwords,2021
Others,ES,1.13,adwords,2022
Others,ES,0.62,adwords,2022
Others,ES,0.53,bing,2022
Others,ES,0.5,bing,2021
Business,ES,0.58,adwords,2021
Home Improvement & Maintenance,ES,0.14,adwords,2021
Industrial,ES,0.18,bing,2022
Industrial,ES,0.4,adwords,2022
Home Improvement & Maintenance,ES,0.29,bing,2022
Others,ES,0.79,adwords,2021
Transport & Logistics,ES,0.63,bing,2022
Environment,ES,0.87,bing,2022
Others,ES,0.8,adwords,2022
Others,ES,0.75,adwords,2021
Home Improvement & Maintenance,ES,0.37,adwords,2021
Others,ES,0.5,bing,2022
Others,ES,0.29,bing,2022
Health,ES,0.51,adwords,2023
Others,ES,0.2,adwords,2021
Legal & Law,ES,0.48,adwords,2022
Others,ES,0.56,adwords,2022
Pharmacy,ES,0.43,bing,2021
Others,ES,0.28,adwords,2021
Others,ES,0.11,bing,2021
Industrial,ES,0.9,adwords,2022
Industrial,ES,0.28,bing,2022
Others,ES,0.57,bing,2022
Others,ES,0.2,bing,2022
Home Improvement & Maintenance,ES,3.0,bing,2021
Others,ES,0.54,adwords,2021
Home Improvement & Maintenance,ES,0.38,bing,2022
Home Improvement & Maintenance,ES,0.88,bing,2023
Industrial,ES,0.48,adwords,2022
Others,ES,0.34,adwords,2022
Cars & Motorbikes,ES,0.36,adwords,2021
Others,ES,0.97,adwords,2022
Business,ES,0.4,adwords,2022
Home Improvement & Maintenance,ES,0.56,adwords,2022
Others,ES,1.05,adwords,2022
Industrial,ES,3.0,bing,2022
Others,ES,2.89,adwords,2021
Food & Drinks,ES,0.28,bing,2022
Others,ES,0.61,adwords,2022
Interior Design & Furniture,ES,0.1,bing,2022
Food & Drinks,ES,0.54,bing,2021
Industrial,ES,0.46,bing,2022
Others,ES,0.21,adwords,2021
Others,ES,0.98,adwords,2021
Home Improvement & Maintenance,ES,0.35,bing,2023
Others,ES,0.39,bing,2021
Others,ES,0.29,adwords,2021
Others,ES,0.36,bing,2021
Others,ES,0.33,bing,2022
Industrial,ES,0.31,bing,2022
Others,ES,2.4,adwords,2021
Real Estate,ES,0.22,bing,2021
Health,ES,0.5,bing,2021
Flowers & Plants,ES,0.36,bing,2022
Others,ES,0.33,adwords,2021
Funeral Services,ES,0.77,adwords,2021
Home Improvement & Maintenance,ES,1.21,adwords,2022
Home Improvement & Maintenance,ES,1.82,bing,2023
Industrial,ES,2.0,adwords,2022
Health,ES,0.3,bing,2022
Home Improvement & Maintenance,ES,0.59,bing,2022
Others,ES,0.55,adwords,2021
Others,ES,0.48,adwords,2022
Others,ES,0.28,adwords,2021
Restaurant,ES,0.55,bing,2023
Home Improvement & Maintenance,ES,0.67,adwords,2023
Legal & Law,ES,0.42,bing,2022
Others,ES,0.85,adwords,2021
Others,ES,0.22,bing,2022
Health,ES,0.31,bing,2022
Others,ES,1.75,adwords,2022
Others,ES,0.55,bing,2021
Funeral Services,ES,0.14,adwords,2021
Food & Drinks,ES,0.46,bing,2022
Restaurant,ES,0.42,adwords,2021
Transport & Logistics,ES,0.28,adwords,2023
Restaurant,ES,0.3,bing,2021
Beauty,ES,0.24,adwords,2023
Home Improvement & Maintenance,ES,0.53,adwords,2021
Others,ES,0.81,bing,2021
Flowers & Plants,ES,0.64,adwords,2021
Health,ES,0.29,adwords,2021
Business,ES,1.18,adwords,2021
Others,ES,0.74,adwords,2021
Home Improvement & Maintenance,ES,1.07,bing,2023
Health,ES,0.55,adwords,2021
Others,ES,0.52,bing,2021
Health,ES,0.28,bing,2022
Restaurant,ES,0.5,bing,2022
Industrial,ES,0.51,bing,2021
Others,ES,0.44,adwords,2021
Industrial,ES,0.35,bing,2023
Others,ES,0.54,adwords,2023
Others,ES,0.49,bing,2022
Others,ES,0.25,adwords,2021
Restaurant,ES,0.32,adwords,2021
Home Improvement & Maintenance,ES,0.5,adwords,2023
Pharmacy,ES,0.45,adwords,2021
Home Improvement & Maintenance,ES,0.33,bing,2022
Accommodation & Hotels,ES,0.42,bing,2022
Security,ES,0.5,adwords,2022
Accommodation & Hotels,ES,0.6,bing,2024
Home Improvement & Maintenance,ES,0.83,adwords,2021
Home Improvement & Maintenance,ES,0.45,bing,2023
Industrial,ES,0.33,bing,2022
Transport & Logistics,ES,0.65,bing,2023
Others,ES,0.98,bing,2021
Others,ES,0.26,adwords,2022
Others,ES,1.66,adwords,2021
Others,ES,1.73,adwords,2021
Others,ES,0.28,adwords,2022
Others,ES,0.4,adwords,2021
Electronics,ES,0.44,adwords,2022
Beauty,ES,0.16,adwords,2023
Transport & Logistics,ES,0.85,bing,2021
Funeral Services,ES,0.34,bing,2022
Others,ES,0.38,bing,2021
Home Improvement & Maintenance,ES,0.71,adwords,2022
Home Improvement & Maintenance,ES,1.24,adwords,2022
Home Improvement & Maintenance,ES,0.4,bing,2021
Legal & Law,ES,0.57,bing,2022
Accommodation & Hotels,ES,0.7,adwords,2023
Business,ES,0.3,adwords,2022
Interior Design & Furniture,ES,0.98,bing,2024
Others,ES,0.25,bing,2021
Food & Drinks,ES,0.13,bing,2021
Food & Drinks,ES,0.52,adwords,2023
Others,ES,0.27,adwords,2021
Home Improvement & Maintenance,ES,0.57,bing,2021
Transport & Logistics,ES,0.32,adwords,2023
Home Improvement & Maintenance,ES,0.1,bing,2022
Others,ES,0.46,bing,2021
Health,ES,0.42,adwords,2023
Health,ES,0.26,adwords,2021
Others,ES,0.63,bing,2021
Security,ES,0.52,adwords,2023
Funeral Services,ES,0.48,bing,2023
Others,ES,0.29,adwords,2021
Home Improvement & Maintenance,ES,0.42,adwords,2021
Interior Design & Furniture,ES,0.24,bing,2022
Industrial,ES,0.57,bing,2021
Industrial,ES,0.94,adwords,2022
Real Estate,ES,0.31,adwords,2023
Home Improvement & Maintenance,ES,0.32,adwords,2022
Industrial,ES,0.29,adwords,2022
Industrial,ES,0.35,adwords,2021
Home Improvement & Maintenance,ES,1.14,bing,2022
Home Improvement & Maintenance,ES,0.19,bing,2021
Industrial,ES,0.79,bing,2021
Others,ES,0.69,adwords,2022
Home Improvement & Maintenance,ES,2.02,adwords,2024
Food & Drinks,ES,0.56,bing,2021
Cars & Motorbikes,ES,0.69,adwords,2023
Health,ES,0.49,adwords,2021
Home Improvement & Maintenance,ES,0.23,adwords,2022
Home Improvement & Maintenance,ES,0.44,adwords,2022
Cars & Motorbikes,ES,0.4,bing,2023
Others,ES,0.75,adwords,2022
Security,ES,0.73,bing,2022
Home Improvement & Maintenance,ES,0.22,bing,2022
Industrial,ES,0.99,bing,2022
Others,ES,0.21,bing,2022
Others,ES,0.75,bing,2021
Others,ES,0.73,bing,2021
Others,ES,0.88,bing,2021
Industrial,ES,1.09,adwords,2021
Others,ES,0.4,bing,2022
Home Improvement & Maintenance,ES,0.17,bing,2021
Fashion & Clothing,ES,0.35,adwords,2024
Home Improvement & Maintenance,ES,0.31,adwords,2022
Others,ES,0.24,bing,2021
Health,ES,0.5,bing,2021
Others,ES,0.53,adwords,2021
Others,ES,0.34,bing,2022
Others,ES,0.07,bing,2022
Others,ES,0.89,bing,2021
Home Improvement & Maintenance,ES,0.95,adwords,2022
Home Improvement & Maintenance,ES,0.94,adwords,2022
Home Improvement & Maintenance,ES,0.95,adwords,2022
Others,ES,0.25,adwords,2021
Environment,ES,1.3,adwords,2024
Industrial,ES,0.26,adwords,2023
Others,ES,0.35,bing,2022
Home Improvement & Maintenance,ES,0.69,bing,2023
Cars & Motorbikes,ES,0.41,bing,2021
Others,ES,0.52,adwords,2021
Others,ES,0.27,adwords,2021
Cars & Motorbikes,ES,0.36,bing,2022
Transport & Logistics,ES,0.97,adwords,2024
Interior Design & Furniture,ES,0.38,adwords,2021
Pharmacy,ES,0.1,adwords,2022
Home Improvement & Maintenance,ES,0.67,bing,2022
Environment,ES,1.5,bing,2024
Funeral Services,ES,0.16,bing,2022
Business,ES,0.55,bing,2022
Business,ES,0.6,adwords,2021
Transport & Logistics,ES,0.34,adwords,2023
Cars & Motorbikes,ES,0.14,adwords,2022
Others,ES,1.28,bing,2021
Pharmacy,ES,0.3,adwords,2022
Food & Drinks,ES,0.25,bing,2021
Business,ES,1.2,adwords,2023
Home Improvement & Maintenance,ES,0.75,adwords,2022
Others,ES,0.47,adwords,2021
Cars & Motorbikes,ES,0.13,bing,2022
Others,ES,0.36,adwords,2022
Others,ES,0.4,adwords,2022
Others,ES,0.94,adwords,2021
Business,ES,0.84,bing,2022
Others,ES,0.46,bing,2021
Health,ES,0.29,bing,2021
Others,ES,0.49,adwords,2021
Others,ES,0.8,adwords,2023
Others,ES,0.42,bing,2021
Others,ES,0.93,adwords,2021
Others,ES,0.91,adwords,2024
Food & Drinks,ES,0.15,adwords,2022
Others,ES,0.82,bing,2021
Others,ES,0.41,bing,2023
Home Improvement & Maintenance,ES,0.56,bing,2021
Interior Design & Furniture,ES,1.1,adwords,2023
Others,ES,2.59,adwords,2022
Others,ES,0.25,bing,2022
Electronics,ES,0.57,adwords,2021
Others,ES,0.66,adwords,2021
Others,ES,0.4,adwords,2021
Home Improvement & Maintenance,ES,1.38,adwords,2023
Business,ES,0.09,adwords,2022
Others,ES,0.17,adwords,2021
Industrial,ES,0.39,bing,2022
Funeral Services,ES,0.47,adwords,2022
Home Improvement & Maintenance,ES,1.42,bing,2022
Others,ES,0.5,adwords,2022
Home Improvement & Maintenance,ES,0.97,adwords,2023
Others,ES,0.71,bing,2021
Industrial,ES,0.32,adwords,2021
Fashion & Clothing,ES,0.6,bing,2021
Agriculture,ES,0.34,adwords,2022
Industrial,ES,0.52,bing,2022
Others,ES,0.48,adwords,2021
Health,ES,0.22,adwords,2022
Others,ES,0.54,bing,2021
Industrial,ES,0.28,adwords,2022
Others,ES,0.43,bing,2021
Home Improvement & Maintenance,ES,0.54,bing,2022
Others,ES,0.29,adwords,2021
Others,ES,0.22,bing,2022
Others,ES,0.6,adwords,2021
Others,ES,0.24,bing,2021
Home Improvement & Maintenance,ES,0.9,adwords,2023
Real Estate,ES,0.08,bing,2023
Others,ES,0.22,bing,2022
Health,ES,1.08,adwords,2022
Home Improvement & Maintenance,ES,1.22,adwords,2023
Transport & Logistics,ES,0.35,adwords,2021
Others,ES,0.65,adwords,2021
Others,ES,0.86,adwords,2024
Pharmacy,ES,0.32,adwords,2022
Others,ES,0.55,adwords,2021
Others,ES,0.32,bing,2022
Others,ES,0.48,bing,2021
Animals & Pets,ES,0.85,adwords,2024
Others,ES,3.0,bing,2022
Home Improvement & Maintenance,ES,1.64,bing,2022
Home Improvement & Maintenance,ES,0.53,adwords,2021
Others,ES,0.15,bing,2021
Others,ES,0.27,adwords,2021
Funeral Services,ES,0.3,adwords,2021
Health,ES,0.3,adwords,2022
Others,ES,0.45,bing,2022
Others,ES,0.48,bing,2021
Others,ES,0.36,adwords,2023
Fashion & Clothing,ES,0.44,adwords,2022
Legal & Law,ES,1.27,adwords,2021
Home Improvement & Maintenance,ES,0.75,bing,2021
Health,ES,0.37,bing,2022
Others,ES,1.67,adwords,2021
Cars & Motorbikes,ES,0.25,bing,2023
Others,ES,3.0,bing,2021
Business,ES,1.57,adwords,2021
Funeral Services,ES,0.09,bing,2021
Cars & Motorbikes,ES,0.29,adwords,2021
Home Improvement & Maintenance,ES,0.4,bing,2022
Others,ES,0.27,adwords,2022
Health,ES,0.4,bing,2022
Others,ES,0.51,adwords,2021
Others,ES,0.49,adwords,2022
Others,ES,0.41,bing,2022
Industrial,ES,3.0,bing,2022
Restaurant,ES,0.29,adwords,2022
Home Improvement & Maintenance,ES,0.57,adwords,2022
Electronics,ES,0.72,bing,2023
Others,ES,0.36,adwords,2021
Industrial,ES,0.54,adwords,2022
Others,ES,0.23,adwords,2021
Others,ES,1.99,bing,2021
Legal & Law,ES,0.48,bing,2021
Others,ES,0.05,adwords,2021
School,ES,0.48,bing,2022
Home Improvement & Maintenance,ES,0.35,bing,2023
Industrial,ES,0.38,bing,2022
Business,ES,0.74,adwords,2022
Environment,ES,0.76,adwords,2023
Food & Drinks,ES,2.24,adwords,2022
Industrial,ES,0.23,bing,2022
Cars & Motorbikes,ES,0.6,bing,2022
Others,ES,0.51,adwords,2021
Health,ES,0.34,adwords,2022
Others,ES,1.56,adwords,2021
Agriculture,ES,0.42,bing,2021
Others,ES,0.41,bing,2021
Home Improvement & Maintenance,ES,0.61,bing,2023
Health,ES,0.39,bing,2022
Health,ES,0.83,adwords,2021
Others,ES,0.28,bing,2022
Home Improvement & Maintenance,ES,0.27,bing,2022
Others,ES,0.31,adwords,2021
School,ES,0.69,bing,2023
Others,ES,0.52,bing,2021
Home Improvement & Maintenance,ES,0.5,bing,2022
Business,ES,0.45,bing,2021
Others,ES,0.29,adwords,2021
Electronics,ES,1.28,bing,2021
Industrial,ES,0.61,adwords,2022
Health,ES,1.25,adwords,2021
Home Improvement & Maintenance,ES,0.35,adwords,2021
Others,ES,0.43,bing,2021
Home Improvement & Maintenance,ES,0.32,adwords,2021
Others,ES,0.25,bing,2021
Others,ES,0.56,adwords,2022
Others,ES,0.18,adwords,2021
Others,ES,0.4,bing,2021
Business,ES,0.57,bing,2023
Home Improvement & Maintenance,ES,0.86,bing,2024
Others,ES,1.24,bing,2022
Others,ES,0.53,adwords,2021
Industrial,ES,0.44,adwords,2021
Others,ES,0.28,adwords,2022
Others,ES,0.41,adwords,2021
Home Improvement & Maintenance,ES,0.3,adwords,2021
Legal & Law,ES,0.96,adwords,2023
Others,ES,0.82,adwords,2022
Home Improvement & Maintenance,ES,1.15,bing,2022
Legal & Law,ES,0.61,bing,2021
Others,ES,0.35,bing,2021
Others,ES,0.29,adwords,2022
Security,ES,1.5,adwords,2022
Industrial,ES,0.36,adwords,2022
Home Improvement & Maintenance,ES,0.55,adwords,2023
Others,ES,2.92,bing,2022
Others,ES,0.28,bing,2021
School,ES,0.8,bing,2021
Home Improvement & Maintenance,ES,0.41,adwords,2021
Legal & Law,ES,1.26,bing,2024
Others,ES,0.35,adwords,2021
Food & Drinks,ES,0.96,bing,2021
Animals & Pets,ES,0.36,bing,2022
Beauty,ES,0.24,adwords,2022
Others,ES,0.83,adwords,2021
Others,ES,0.56,adwords,2021
Funeral Services,ES,1.92,bing,2023
Others,ES,1.24,bing,2024
Home Improvement & Maintenance,ES,1.87,adwords,2021
Others,ES,0.3,adwords,2022
Home Improvement & Maintenance,ES,0.4,bing,2022
Industrial,ES,0.9,bing,2021
Industrial,ES,0.22,adwords,2022
Others,ES,0.63,bing,2023
Cars & Motorbikes,ES,0.8,adwords,2022
Legal & Law,ES,0.44,adwords,2022
Agriculture,ES,0.13,adwords,2022
Others,ES,3.0,bing,2021
Others,ES,0.83,bing,2021
Others,ES,0.6,bing,2021
Others,ES,0.65,adwords,2021
Others,ES,1.64,adwords,2021
Others,ES,0.42,adwords,2021
Others,ES,0.39,bing,2021
Others,ES,0.35,bing,2022
Others,ES,0.62,adwords,2021
Home Improvement & Maintenance,ES,0.35,bing,2022
Others,ES,3.0,bing,2022
Others,ES,0.4,bing,2022
Others,ES,0.39,adwords,2021
Industrial,ES,0.48,bing,2023
Home Improvement & Maintenance,ES,0.76,adwords,2023
Others,ES,0.32,adwords,2022
Business,ES,0.48,adwords,2021
Others,ES,0.35,adwords,2021
Others,ES,0.27,bing,2022
Home Improvement & Maintenance,ES,0.71,adwords,2024
Others,ES,0.42,bing,2022
Electronics,ES,0.71,bing,2023
Industrial,ES,1.24,bing,2022
Others,ES,0.29,bing,2022
Industrial,ES,0.89,adwords,2022
Others,ES,0.53,adwords,2021
Health,ES,0.26,adwords,2022
Home Improvement & Maintenance,ES,0.64,adwords,2022
Others,ES,0.66,bing,2024
Home Improvement & Maintenance,ES,0.46,adwords,2023
Home Improvement & Maintenance,ES,0.54,bing,2021
Others,ES,0.34,adwords,2021
Home Improvement & Maintenance,ES,0.38,bing,2023
Others,ES,1.31,bing,2021
Industrial,ES,0.64,adwords,2021
Others,ES,0.53,adwords,2021
Pharmacy,ES,0.23,bing,2021
Cars & Motorbikes,ES,1.52,adwords,2023
Home Improvement & Maintenance,ES,0.39,bing,2022
Others,ES,0.17,bing,2021
Home Improvement & Maintenance,ES,1.2,adwords,2022
Industrial,ES,0.4,bing,2022
Beauty,ES,1.06,bing,2023
Home Improvement & Maintenance,ES,0.64,adwords,2022
Cars & Motorbikes,ES,0.29,bing,2021
Beauty,ES,0.33,bing,2023
Others,ES,0.46,bing,2022
Others,ES,0.49,adwords,2021
Transport & Logistics,ES,0.57,bing,2022
Others,ES,0.41,adwords,2022
Legal & Law,ES,0.74,bing,2021
Home Improvement & Maintenance,ES,0.53,bing,2023
Health,ES,0.55,adwords,2023
Others,ES,0.25,adwords,2021
School,ES,0.22,bing,2022
Others,ES,0.16,adwords,2021
Transport & Logistics,ES,0.36,bing,2021
Interior Design & Furniture,ES,0.5,adwords,2022
Others,ES,1.06,bing,2021
Others,ES,0.37,adwords,2022
Home Improvement & Maintenance,ES,0.37,adwords,2023
Home Improvement & Maintenance,ES,0.56,adwords,2022
Health,ES,0.86,adwords,2022
Others,ES,0.28,bing,2022
Health,ES,3.0,bing,2021
Home Improvement & Maintenance,ES,0.32,bing,2021
Home Improvement & Maintenance,ES,0.37,adwords,2021
Others,ES,0.12,adwords,2021
Industrial,ES,0.63,bing,2023
Accommodation & Hotels,ES,0.13,adwords,2022
Home Improvement & Maintenance,ES,0.65,adwords,2023
Home Improvement & Maintenance,ES,0.34,bing,2021
Health,ES,0.37,adwords,2021
Home Improvement & Maintenance,ES,0.28,adwords,2023
Home Improvement & Maintenance,ES,0.22,bing,2021
Industrial,ES,2.4,adwords,2022
Home Improvement & Maintenance,ES,1.32,bing,2023
Home Improvement & Maintenance,ES,1.87,bing,2023
Electronics,ES,0.96,bing,2022
Restaurant,ES,1.09,adwords,2022
Food & Drinks,ES,0.27,bing,2021
Others,ES,0.21,adwords,2021
Health,ES,0.87,adwords,2022
Home Improvement & Maintenance,ES,0.55,bing,2022
Animals & Pets,ES,0.4,bing,2022
Cars & Motorbikes,ES,3.0,bing,2021
Others,ES,1.19,adwords,2021
Transport & Logistics,ES,0.32,adwords,2022
Others,ES,0.6,bing,2022
Others,ES,2.4,bing,2021
Cars & Motorbikes,ES,0.43,adwords,2022
Industrial,ES,0.71,adwords,2022
Business,ES,0.82,adwords,2021
Restaurant,ES,0.65,adwords,2024
Beauty,ES,0.51,bing,2022
Home Improvement & Maintenance,ES,0.52,bing,2021
Health,ES,0.26,adwords,2023
Others,ES,1.16,adwords,2021
Others,ES,0.45,adwords,2022
Funeral Services,ES,0.09,bing,2021
Others,ES,1.8,bing,2021
Others,ES,0.56,bing,2022
Transport & Logistics,ES,0.72,bing,2023
Others,ES,0.54,bing,2021
Home Improvement & Maintenance,ES,0.17,adwords,2022
Industrial,ES,0.13,adwords,2021
Legal & Law,ES,0.62,adwords,2022
Others,ES,0.67,adwords,2022
Others,ES,0.38,bing,2021
Home Improvement & Maintenance,ES,0.58,adwords,2023
Industrial,ES,0.24,bing,2022
Beauty,ES,0.17,bing,2022
Electronics,ES,0.93,bing,2023
Others,ES,1.22,bing,2021
Food & Drinks,ES,0.14,adwords,2021
